ID,Title,Created Date,Updated Date,Author,Commits,Changed Files,Additions,Deletions,Status
131,DE language support - not tested yet,2024-01-13 20:53:18+00:00,2024-03-31 18:56:49+00:00,jkellerer,1,1,20,0,Close
129,NL language support - not tested yet,2024-01-13 19:42:13+00:00,2024-03-31 18:56:41+00:00,loukdeloijer,1,1,20,0,Close
127,Dutch translation,2024-01-13 19:05:49+00:00,2024-03-31 18:55:52+00:00,Toon-nooT,2,1,20,0,Close
126,Case insensitive tool and agent names,2024-01-13 17:26:36+00:00,2024-03-31 18:54:51+00:00,jkellerer,4,3,15,10,Close
124,Adding support for Crew throttling using RPM,2024-01-13 14:09:47+00:00,2024-01-13 14:20:34+00:00,joaomdmoura,3,14,932,127,Close
122,Adding Greek translation,2024-01-12 23:33:10+00:00,2024-01-13 14:22:24+00:00,JimJim12,4,1,20,0,Close
120,Adding support for translations,2024-01-12 17:49:21+00:00,2024-01-12 17:49:40+00:00,joaomdmoura,2,12,148,101,Close
116,Add Github action for black,2024-01-12 06:21:53+00:00,2024-01-13 01:06:14+00:00,greysonlalonde,1,1,10,0,Close
111,Revamp max iteration Logic,2024-01-11 15:31:48+00:00,2024-01-11 15:32:57+00:00,joaomdmoura,4,6,1035,17,Close
108,Bump to `langchain0.1.0`,2024-01-11 07:58:34+00:00,2024-01-11 12:33:43+00:00,greysonlalonde,2,4,84,14,Close
99,Move to `src` dir usage,2024-01-10 04:01:49+00:00,2024-01-16 17:05:49+00:00,greysonlalonde,1,22,17,6,Close
98,Add missing pydantic imports,2024-01-10 03:08:38+00:00,2024-01-10 03:13:07+00:00,greysonlalonde,1,1,20,10,Close
97,update example usage in README,2024-01-09 19:40:30+00:00,2024-01-10 02:22:42+00:00,shadow578,1,1,1,1,Close
90,improved readability,2024-01-08 16:11:02+00:00,2024-01-10 02:29:51+00:00,paipeline,1,2,84,102,Close
88,Refractoring,2024-01-08 11:10:34+00:00,2024-01-10 03:04:14+00:00,SashaXser,2,6,16,28,Close
81,Update README.md,2024-01-07 15:06:51+00:00,2024-01-07 16:37:31+00:00,eltociear,1,1,1,1,Close
77,Reliability improvements,2024-01-07 12:26:17+00:00,2024-01-07 15:43:41+00:00,joaomdmoura,8,11,125,123,Close
72,Notebook showing how to use Ollama,2024-01-06 22:44:46+00:00,2024-01-10 02:22:04+00:00,karnagge,1,1,257,0,Close
68,Tools cache and delegation improvements,2024-01-06 14:46:10+00:00,2024-01-06 14:46:37+00:00,joaomdmoura,2,4,26,16,Close
63,Update README.md,2024-01-05 22:58:30+00:00,2024-01-06 15:35:12+00:00,siddartha-10,1,1,49,0,Close
61,Updated the main example in README.md,2024-01-05 21:03:27+00:00,2024-01-06 03:34:28+00:00,iplayfast,5,1,11,1,Close
54,Better agent execution error handling,2024-01-05 14:04:44+00:00,2024-01-05 14:05:03+00:00,joaomdmoura,5,16,38,43,Close
50,Refactoring task cache to be a tool,2024-01-04 23:40:37+00:00,2024-01-05 00:32:16+00:00,joaomdmoura,2,12,1671,396,Close
48,Proper README example,2024-01-04 12:59:45+00:00,2024-01-04 13:03:27+00:00,joaomdmoura,1,1,40,10,Close
42,Update output_parser.py,2024-01-02 20:34:48+00:00,2024-01-02 23:52:12+00:00,SuperMalinge,1,1,1,1,Close
33,Change 'agent' to 'openhermes' in Ollama example,2023-12-31 21:23:41+00:00,2024-01-03 15:56:35+00:00,stoltzmaniac,1,1,1,1,Close
30,Fix Pydantic/Langchain Inheritance Bug,2023-12-31 07:31:24+00:00,2023-12-31 13:52:15+00:00,greysonlalonde,1,3,62,8,Close
29,Implement CrewAIBaseModel and Update to ConfigDict,2023-12-30 23:41:16+00:00,2023-12-31 00:52:04+00:00,greysonlalonde,11,5,35,12,Close
27,Update README.md,2023-12-30 15:32:39+00:00,2023-12-31 00:49:20+00:00,eltociear,1,1,1,1,Close
